Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tiles/0/0/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,3795.709121011896,3795.709121011896,3795.709121011896,3795.709121011896,3612.0,0.009598461933472939,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
GET,/tiles/1/0/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1136.3433049991727,1136.3433049991727,1136.3433049991727,1136.3433049991727,3519.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/1/1/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1053.479330992559,1053.479330992559,1053.479330992559,1053.479330992559,3354.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/2/0/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,968.7013869988732,968.7013869988732,968.7013869988732,968.7013869988732,1667.0,0.009598461933472939,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/tiles/2/0/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,917.3374460078776,917.3374460078776,917.3374460078776,917.3374460078776,41.0,0.009598461933472939,0.009598461933472939,920,920,920,920,920,920,920,920,920,920,920
GET,/tiles/2/2/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,3,0,1100.0,1088.969178997407,965.1569589914288,1190.397351005231,1661.0,0.028795385800418818,0.0,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/3/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,846.1092879879288,846.1092879879288,846.1092879879288,846.1092879879288,41.0,0.009598461933472939,0.009598461933472939,850,850,850,850,850,850,850,850,850,850,850
GET,/tiles/3/0/5.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1015.0145259976853,1015.0145259976853,1015.0145259976853,1015.0145259976853,735.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/0/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,905.6847610045224,905.6847610045224,905.6847610045224,905.6847610045224,41.0,0.009598461933472939,0.009598461933472939,910,910,910,910,910,910,910,910,910,910,910
GET,/tiles/3/2/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1065.0624340050854,1065.0624340050854,1065.0624340050854,1065.0624340050854,945.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/2/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1061.935864010593,1061.935864010593,1061.935864010593,1061.935864010593,2058.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/3/0.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1087.015420998796,1087.015420998796,1087.015420998796,1087.015420998796,886.0,0.009598461933472939,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/3/2.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,2065.6200719968183,2065.6200719968183,2065.6200719968183,2065.6200719968183,1369.0,0.009598461933472939,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/tiles/3/4/1.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,1002.4490509968018,1002.4490509968018,1002.4490509968018,1002.4490509968018,1133.0,0.009598461933472939,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/5/2.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,0,973.5550479963422,973.5550479963422,973.5550479963422,973.5550479963422,694.0,0.009598461933472939,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/tiles/3/5/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,1,1,865.9301229927223,865.9301229927223,865.9301229927223,865.9301229927223,41.0,0.009598461933472939,0.009598461933472939,870,870,870,870,870,870,870,870,870,870,870
