Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,4800.0,4148.823038600001,603.313545000006,5855.692924,9409.0,0.04123078608666381,0.0,4800,5000,5000,5900,5900,5900,5900,5900,5900,5900,5900
GET,"/tiles/1/1/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,590.0,571.8364649999974,516.3868419999993,607.4470529999871,4193.0,0.04123078608666381,0.0,590,590,590,610,610,610,610,610,610,610,610
GET,"/tiles/2/0/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,550.0,557.5095415999988,514.3083849999996,635.0390820000005,1156.0,0.04123078608666381,0.0,550,550,550,640,640,640,640,640,640,640,640
GET,"/tiles/2/2/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,530.0,547.8994353999983,506.67086600000033,618.8281549999992,1229.0,0.04123078608666381,0.0,530,560,560,620,620,620,620,620,620,620,620
GET,"/tiles/2/2/3.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,530.0,541.5651477999983,515.6463139999996,580.1124239999922,1243.0,0.04123078608666381,0.0,530,570,570,580,580,580,580,580,580,580,580
GET,"/tiles/2/3/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,540.0,549.8058512,516.4657429999995,594.286112999999,1174.0,0.04123078608666381,0.0,540,560,560,590,590,590,590,590,590,590,590
GET,"/tiles/3/0/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,610.0,625.5685767999981,514.1743170000002,728.9500229999994,759.0,0.04123078608666381,0.0,610,680,680,730,730,730,730,730,730,730,730
GET,"/tiles/3/1/4.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,640.0,641.5309453999989,612.062538,688.7330679999994,950.0,0.04123078608666381,0.0,640,650,650,690,690,690,690,690,690,690,690
GET,"/tiles/3/3/1.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,610.0,626.2334175999999,523.5685869999998,847.0845370000006,1006.0,0.04123078608666381,0.0,610,620,620,850,850,850,850,850,850,850,850
GET,"/tiles/3/3/4.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,590.0,575.5365210000008,531.825542,613.3798059999993,1015.0,0.04123078608666381,0.0,590,610,610,610,610,610,610,610,610,610,610
GET,"/tiles/3/4/0.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,610.0,583.4774649999982,511.672592,624.3855439999919,822.0,0.04123078608666381,0.0,610,610,610,620,620,620,620,620,620,620,620
GET,"/tiles/3/4/2.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,550.0,565.7050035999983,523.8566739999992,615.8934779999985,1224.0,0.04123078608666381,0.0,550,620,620,620,620,620,620,620,620,620,620
GET,"/tiles/3/4/6.png?reference=False&variable=tas&rescale=200,300&url=s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/",5,0,610.0,609.9577100000026,529.2932950000004,681.0299350000122,917.0,0.04123078608666381,0.0,610,610,610,680,680,680,680,680,680,680,680
