Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,3000.0,2541.0446083999996,515.0896769999988,3208.409614,21983.0,0.0502396612701842,0.0,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200
GET,"/tiles/1/0/1.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,530.0,528.0112634000008,490.3150980000035,569.692592,14524.0,0.0502396612701842,0.0,530,540,540,570,570,570,570,570,570,570,570
GET,"/tiles/2/1/0.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,480.0,476.40347360000004,406.59274800000134,571.8295790000001,4601.0,0.0502396612701842,0.0,480,490,490,570,570,570,570,570,570,570,570
GET,"/tiles/2/1/1.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,480.0,494.27174160000015,441.9643749999995,547.2175890000007,22783.0,0.0502396612701842,0.0,480,530,530,550,550,550,550,550,550,550,550
GET,"/tiles/2/1/3.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,450.0,454.3406782000002,426.744738,514.6379130000014,693.0,0.0502396612701842,0.0,450,450,450,510,510,510,510,510,510,510,510
GET,"/tiles/2/3/1.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,530.0,541.8665114000005,472.2968650000006,624.4953149999999,17497.0,0.0502396612701842,0.0,530,570,570,620,620,620,620,620,620,620,620
GET,"/tiles/3/0/3.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,510.0,488.0591155999996,407.399851000001,517.1559219999988,11630.0,0.0502396612701842,0.0,510,510,510,520,520,520,520,520,520,520,520
GET,"/tiles/3/0/5.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,510.0,486.4888207999999,414.36852300000027,512.2245819999999,6700.0,0.0502396612701842,0.0,510,510,510,510,510,510,510,510,510,510,510
GET,"/tiles/3/1/0.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,440.0,456.3534872000006,418.6760410000048,513.113937,693.0,0.0502396612701842,0.0,440,490,490,510,510,510,510,510,510,510,510
GET,"/tiles/3/3/3.png?reference=True&variable=sst&rescale=0,40&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json&drop_dim=zlev=0",5,0,510.0,510.7928554000001,476.9558420000024,549.3453339999999,10634.0,0.0502396612701842,0.0,510,530,530,550,550,550,550,550,550,550,550
