Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tiles/0/0/0.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,6323.113332997309,6323.113332997309,6323.113332997309,6323.113332997309,5089.0,0.007966259391893302,0.0,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
GET,/tiles/1/0/0.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,2,0,1136.8778699979885,1256.2621904944535,1136.8778699979885,1375.6465109909186,4241.0,0.015932518783786605,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/tiles/2/0/2.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1181.6300460050115,1181.6300460050115,1181.6300460050115,1181.6300460050115,1568.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/1/2.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1158.5092239984078,1158.5092239984078,1158.5092239984078,1158.5092239984078,2428.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/2/1.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1180.7498390116962,1180.7498390116962,1180.7498390116962,1180.7498390116962,2677.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/2/3.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1228.971126009128,1228.971126009128,1228.971126009128,1228.971126009128,1006.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/3/0.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1291.7793249944225,1291.7793249944225,1291.7793249944225,1291.7793249944225,1476.0,0.007966259391893302,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/2/3/1.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1282.592946998193,1282.592946998193,1282.592946998193,1282.592946998193,2577.0,0.007966259391893302,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/0/1.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1154.6685210050782,1154.6685210050782,1154.6685210050782,1154.6685210050782,1049.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/0/2.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1166.7542299983324,1166.7542299983324,1166.7542299983324,1166.7542299983324,1272.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/1/2.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1230.6066150049446,1230.6066150049446,1230.6066150049446,1230.6066150049446,1102.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/1/7.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1266.4390049903886,1266.4390049903886,1266.4390049903886,1266.4390049903886,693.0,0.007966259391893302,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/2/2.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1173.810639011208,1173.810639011208,1173.810639011208,1173.810639011208,2305.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/3/1.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1225.6235009990633,1225.6235009990633,1225.6235009990633,1225.6235009990633,1230.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/3/3.png?reference=True&variable=sst&url=https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,1,0,1152.2201750049135,1152.2201750049135,1152.2201750049135,1152.2201750049135,1291.0,0.007966259391893302,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
