Method,Name,Error,Occurrences
GET,/tiles/5/26/28.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/26/28.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/6/40/62.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/6/40/62.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/6/10/55.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/6/10/55.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/3/1/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/3/1/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/5/20/30.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/20/30.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/5/23/31.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/23/31.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/2/1/3.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/2/1/3.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/4/4/13.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/4/4/13.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/5/22/26.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/22/26.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/5/28/24.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/28/24.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/3/0/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/3/0/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/6/3/62.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/6/3/62.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/6/55/51.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/6/55/51.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/3/6/7.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/3/6/7.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
GET,/tiles/5/10/30.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,HTTPError('404 Client Error: Not Found for url: /tiles/5/10/30.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json'),1
