Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tiles/0/0/0.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,4552.947552001569,4552.947552001569,4552.947552001569,4552.947552001569,3612.0,0.008296604529760958,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/tiles/1/0/1.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,2,0,1184.1752949985676,1169.895554499817,1155.6158140010666,1184.1752949985676,1266.0,0.016593209059521916,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/1/1.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,3,0,1107.2261910012458,1131.5483586707462,1107.2261910012458,1148.469385007047,3068.0,0.024889813589282873,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/2/1/3.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1125.223492999794,1125.223492999794,1125.223492999794,1125.223492999794,41.0,0.008296604529760958,0.008296604529760958,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/2/2/0.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1161.7473719961708,1161.7473719961708,1161.7473719961708,1161.7473719961708,1661.0,0.008296604529760958,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/2/2/1.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1333.4492840076564,1333.4492840076564,1333.4492840076564,1333.4492840076564,2597.0,0.008296604529760958,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/0/4.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1111.697368993191,1111.697368993191,1111.697368993191,1111.697368993191,1394.0,0.008296604529760958,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/0/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1025.7969770027557,1025.7969770027557,1025.7969770027557,1025.7969770027557,41.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/1/4.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1228.9651479950408,1228.9651479950408,1228.9651479950408,1228.9651479950408,785.0,0.008296604529760958,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/1/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1134.0150390024064,1134.0150390024064,1134.0150390024064,1134.0150390024064,41.0,0.008296604529760958,0.008296604529760958,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/3/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1013.3895320032025,1013.3895320032025,1013.3895320032025,1013.3895320032025,41.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/4/7.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1142.3959850071697,1142.3959850071697,1142.3959850071697,1142.3959850071697,41.0,0.008296604529760958,0.008296604529760958,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/5/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1043.7395560002187,1043.7395560002187,1043.7395560002187,1043.7395560002187,41.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/6/2.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1141.6823460021988,1141.6823460021988,1141.6823460021988,1141.6823460021988,750.0,0.008296604529760958,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/3/6/3.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1248.1516870029736,1248.1516870029736,1248.1516870029736,1248.1516870029736,2799.0,0.008296604529760958,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/6/7.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1016.3537799962796,1016.3537799962796,1016.3537799962796,1016.3537799962796,41.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/3/7/1.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1215.4843820026144,1215.4843820026144,1215.4843820026144,1215.4843820026144,1060.0,0.008296604529760958,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/7/7.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1008.2974950055359,1008.2974950055359,1008.2974950055359,1008.2974950055359,41.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/4/1/6.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1269.7503779927501,1269.7503779927501,1269.7503779927501,1269.7503779927501,693.0,0.008296604529760958,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/4/11/10.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1397.0286719995784,1397.0286719995784,1397.0286719995784,1397.0286719995784,762.0,0.008296604529760958,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/tiles/4/13/4.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1126.9750659994315,1126.9750659994315,1126.9750659994315,1126.9750659994315,694.0,0.008296604529760958,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/tiles/4/14/14.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,1,1009.7295939922333,1009.7295939922333,1009.7295939922333,1009.7295939922333,43.0,0.008296604529760958,0.008296604529760958,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/tiles/4/14/3.png?reference=True&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,1,0,1129.0291990007972,1129.0291990007972,1129.0291990007972,1129.0291990007972,838.0,0.008296604529760958,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
