Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,3900.0,4113.443386400002,2622.7115190000063,5921.879851,9824.0,0.012135832838110637,0.0,3900,4900,4900,5900,5900,5900,5900,5900,5900,5900,5900
GET,"/tiles/1/1/1.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2090.585407999999,2080.197279600001,2053.3677390000094,2090.585407999999,7477.0,0.012135832838110637,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,"/tiles/2/0/2.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2100.0,2083.3834961999996,2027.5609830000008,2112.2861309999994,10134.0,0.012135832838110637,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,"/tiles/2/2/1.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2100.0,2112.2142751999995,2020.0522709999973,2234.625647,12070.0,0.012135832838110637,0.0,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200
GET,"/tiles/2/3/1.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2200.0,2155.9598722000023,2020.3120090000014,2217.6135849999987,14663.0,0.012135832838110637,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,"/tiles/2/3/2.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2000.0,2114.5412273999987,1991.4727019999993,2418.391380999992,13162.0,0.012135832838110637,0.0,2000,2100,2100,2400,2400,2400,2400,2400,2400,2400,2400
GET,"/tiles/3/0/0.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2200.0,2172.5404168000005,1980.476809999999,2245.5932260000004,693.0,0.012135832838110637,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,"/tiles/3/0/6.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2000.0,2027.1590686000031,1946.24033300002,2047.5030389999986,714.0,0.012135832838110637,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/3/1/2.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2000.0,2037.2137896000008,1956.3892570000014,2169.644793000003,5900.0,0.012135832838110637,0.0,2000,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200
GET,"/tiles/3/2/0.png?reference=False&variable=precipitationCal&rescale=0,704&url=s3://yuvipanda-test1/cmr/gpm3imergdl.zarr",5,0,2100.0,2022.0081719999994,1935.8447380000002,2100.7215099999994,693.0,0.012135832838110637,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
