Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tiles/0/0/0.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,8906.393572993693,8906.393572993693,8906.393572993693,8906.393572993693,19893.0,0.007361377528771967,0.0,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
GET,/tiles/1/0/1.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1958.889067012933,1958.889067012933,1958.889067012933,1958.889067012933,8663.0,0.007361377528771967,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/tiles/1/1/1.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,2270.237573000486,2270.237573000486,2270.237573000486,2270.237573000486,10006.0,0.007361377528771967,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/tiles/2/0/0.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,3,0,1200.0,1228.7654346631218,1179.6634399943287,1268.2015650061658,2822.0,0.022084132586315898,0.0,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/2/1/2.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1470.5947309994372,1470.5947309994372,1470.5947309994372,1470.5947309994372,6676.0,0.007361377528771967,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/tiles/2/2/2.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1511.5588030021172,1511.5588030021172,1511.5588030021172,1511.5588030021172,5725.0,0.007361377528771967,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/tiles/2/3/1.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1658.554698995431,1658.554698995431,1658.554698995431,1658.554698995431,9348.0,0.007361377528771967,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/tiles/3/0/5.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,2,0,1140.5196609994164,1187.921439501224,1140.5196609994164,1235.3232180030318,1628.0,0.014722755057543934,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/1/2.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,3,0,1228.4291300020413,1263.1624970041837,1228.4291300020413,1330.8288310072385,3390.0,0.022084132586315898,0.0,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/2/6.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1221.2684389960486,1221.2684389960486,1221.2684389960486,1221.2684389960486,1733.0,0.007361377528771967,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/3/2/7.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1326.0457730066264,1326.0457730066264,1326.0457730066264,1326.0457730066264,1196.0,0.007361377528771967,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/4/0.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,2,0,1232.6044670044212,1332.7121709953644,1232.6044670044212,1432.8198749863077,1147.0,0.014722755057543934,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/tiles/3/5/2.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,2,0,1227.1203489945037,1278.6872334982036,1227.1203489945037,1330.2541180019034,2893.0,0.014722755057543934,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/3/6/6.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1228.366162002203,1228.366162002203,1228.366162002203,1228.366162002203,1511.0,0.007361377528771967,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/4/1/7.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1467.0656259986572,1467.0656259986572,1467.0656259986572,1467.0656259986572,1303.0,0.007361377528771967,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/tiles/4/11/11.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1163.1622580025578,1163.1622580025578,1163.1622580025578,1163.1622580025578,959.0,0.007361377528771967,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/4/11/12.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1239.664617998642,1239.664617998642,1239.664617998642,1239.664617998642,1231.0,0.007361377528771967,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/tiles/4/11/5.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1295.996765999007,1295.996765999007,1295.996765999007,1295.996765999007,1771.0,0.007361377528771967,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/tiles/4/11/7.png?reference=False&variable=TS&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,1,0,1259.078998991754,1259.078998991754,1259.078998991754,1259.078998991754,1535.0,0.007361377528771967,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
