Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,3000.0,3468.7071232000003,2659.9136250000015,4899.441856,24484.0,0.04724010234244233,0.0,3000,3900,3900,4900,4900,4900,4900,4900,4900,4900,4900
GET,"/tiles/1/1/0.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,1200.0,1153.7866842000003,1056.9075860000003,1226.4563539999997,18685.0,0.04724010234244233,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,"/tiles/2/0/2.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,650.0,681.0920428000003,635.9478939999992,741.3333699999996,4576.0,0.04724010234244233,0.0,650,740,740,740,740,740,740,740,740,740,740
GET,"/tiles/2/1/1.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,660.0,675.7838820000011,653.1171820000008,740.6866990000012,10811.0,0.04724010234244233,0.0,660,670,670,740,740,740,740,740,740,740,740
GET,"/tiles/2/2/0.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,590.0,574.3518328000005,525.3105289999995,614.5302259999994,3792.0,0.04724010234244233,0.0,590,610,610,610,610,610,610,610,610,610,610
GET,"/tiles/2/3/2.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,720.0,711.9423363999992,645.6273100000001,764.1844869999996,6352.0,0.04724010234244233,0.0,720,760,760,760,760,760,760,760,760,760,760
GET,"/tiles/3/0/5.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,510.0,594.6152304,465.09836599999943,1016.483011,2029.0,0.04724010234244233,0.0,510,510,510,1000,1000,1000,1000,1000,1000,1000,1000
GET,"/tiles/3/1/2.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,570.0,571.7205323999999,492.51839100000086,616.8377120000006,4210.0,0.04724010234244233,0.0,570,620,620,620,620,620,620,620,620,620,620
GET,"/tiles/3/2/3.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,550.0,592.7230222,512.8903430000005,717.9352899999998,4420.0,0.04724010234244233,0.0,550,650,650,720,720,720,720,720,720,720,720
GET,"/tiles/3/2/4.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,550.0,570.176095999999,502.95156699999666,629.537719,5182.0,0.04724010234244233,0.0,550,620,620,630,630,630,630,630,630,630,630
GET,"/tiles/3/3/5.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,560.0,559.4830284000001,501.16381499999994,614.9168839999994,2069.0,0.04724010234244233,0.0,560,610,610,610,610,610,610,610,610,610,610
GET,"/tiles/3/4/2.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,510.0,525.3735934000016,473.5546209999999,615.930303000006,4288.0,0.04724010234244233,0.0,510,510,510,620,620,620,620,620,620,620,620
GET,"/tiles/3/6/6.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,570.0,561.7370140000012,506.4655679999994,611.4798920000055,1725.0,0.04724010234244233,0.0,570,580,580,610,610,610,610,610,610,610,610
GET,"/tiles/3/7/1.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,470.0,563.3103597999996,430.16273799999993,744.3524729999992,2064.0,0.04724010234244233,0.0,470,700,700,740,740,740,740,740,740,740,740
GET,"/tiles/3/7/4.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",5,0,580.0,572.978087200002,474.550197000001,705.7197819999992,2854.0,0.04724010234244233,0.0,580,610,610,710,710,710,710,710,710,710,710
GET,"/tiles/4/0/0.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",10,0,500.0,489.6907615000009,404.10765900000104,587.8316689999998,798.0,0.09448020468488466,0.0,500,510,510,520,590,590,590,590,590,590,590
GET,"/tiles/4/10/1.png?reference=False&variable=TS&rescale=200,300&url=s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr",10,0,520.0,499.19889539999804,394.64292999999986,581.1649350000004,950.0,0.09448020468488466,0.0,520,560,560,580,580,580,580,580,580,580,580
