collection_name,source,chunks,shape_dict,dtype,chunk_size_mb,compression,number_of_spatial_chunks,number_coordinate_chunks
cmip6-kerchunk,s3://nasa-eodc-data-store/test-data/cmip6-kerchunk/combined_CMIP6_daily_GISS-E2-1-G_tas_kerchunk.json,"{'y': 1, 'x': 600}","{'y': 600, 'x': 1440}",float32,3.2958984375,Zlib(level=5),1440.0,1
600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_29_CMIP6_daily_GISS-E2-1-G_tas.zarr,"{'y': 29, 'x': 600}","{'y': 600, 'x': 1440}",float32,95.5810546875,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",49.6551724137931,1
600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,s3://nasa-eodc-data-store/test-data/cmip6-zarr/600_1440_1_CMIP6_daily_GISS-E2-1-G_tas.zarr,"{'y': 1, 'x': 600}","{'y': 600, 'x': 1440}",float32,3.2958984375,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",1440.0,1
365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,"{'y': 365, 'x': 262}","{'y': 600, 'x': 1440}",float32,95.57746887207031,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",9.034821708668828,1
power_901_monthly_meteorology_utc.zarr,s3://power-analysis-ready-datastore/power_901_monthly_meteorology_utc.zarr,"{'y': 504, 'x': 25}","{'y': 361, 'x': 576}",float64,2.40325927734375,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",16.502857142857142,2
cmip6-pds_GISS-E2-1-G_historical_tas,s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r2i1p1f1/Amon/tas/gn/v20180827/,"{'y': 600, 'x': 90}","{'y': 90, 'x': 144}",float32,29.6630859375,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",0.24,1
aws-noaa-oisst-feedstock_reference,https://ncsa.osn.xsede.org/Pangeo/pangeo-forge/pangeo-forge/aws-noaa-oisst-feedstock/aws-noaa-oisst-avhrr-only.zarr/reference.json,"{'zlev': 1, 'y': 1, 'x': 720}","{'zlev': 1, 'y': 720, 'x': 1440}",int16,1.9775390625,Zlib(level=4),1440.0,2
prod-giovanni-cache-GPM_3IMERGHH_06_precipitationCal,s3://prod-giovanni-cache/zarr/GPM_3IMERGHH_06_precipitationCal/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc,https://nex-gddp-cmip6.s3-us-west-2.amazonaws.com/NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc,"{'y': 'N', 'x': '/'}","{'y': 600, 'x': 1440}",float32,N/A,N/A,N/A,0
single_chunk_store_lat1024_lon2048.zarr,s3://nasa-eodc-data-store/test-data/fake-data/single_chunk/store_lat1024_lon2048.zarr,"{'y': 1, 'x': 1024}","{'y': 1024, 'x': 2048}",float64,16.0,"Blosc(cname='lz4', clevel=5, shuffle=SHUFFLE, blocksize=0)",2048.0,2
