Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2361.258952,2361.258952,2361.258952,2361.258952,15213.0,0.004792454047607387,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,"/tiles/1/0/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2114.096319,2114.096319,2114.096319,2114.096319,3463.0,0.004792454047607387,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,"/tiles/2/1/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,1996.6234099999997,1996.6234099999997,1996.6234099999997,1996.6234099999997,7938.0,0.004792454047607387,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/2/2/2.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2048.7621430000004,2048.7621430000004,2048.7621430000004,2048.7621430000004,5443.0,0.004792454047607387,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/2/3/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2025.8778809999994,2025.8778809999994,2025.8778809999994,2025.8778809999994,5529.0,0.004792454047607387,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/2/3/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2148.3495270000008,2148.3495270000008,2148.3495270000008,2148.3495270000008,20257.0,0.004792454047607387,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,"/tiles/3/0/3.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2027.5414649999989,2027.5414649999989,2027.5414649999989,2027.5414649999989,1032.0,0.004792454047607387,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/3/1/5.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2076.9135050000004,2076.9135050000004,2076.9135050000004,2076.9135050000004,693.0,0.004792454047607387,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,"/tiles/3/3/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2039.2080139999998,2039.2080139999998,2039.2080139999998,2039.2080139999998,3958.0,0.004792454047607387,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,"/tiles/3/3/2.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1/CMIP6_daily_GISS-E2-1-G_tas.zarr",1,0,2195.5338699999984,2195.5338699999984,2195.5338699999984,2195.5338699999984,3504.0,0.004792454047607387,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
