Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"/tiles/0/0/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,430.0,494.6207725999995,330.0676159999973,799.4975309999999,15213.0,0.07880486315294825,0.0,430,490,490,800,800,800,800,800,800,800,800
GET,"/tiles/1/1/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,320.0,318.9994767999998,285.51646300000044,355.95225799999855,21211.0,0.07880486315294825,0.0,320,330,330,360,360,360,360,360,360,360,360
GET,"/tiles/2/1/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,340.0,333.5232313999997,260.5273010000002,390.48097299999984,12647.0,0.07880486315294825,0.0,340,390,390,390,390,390,390,390,390,390,390
GET,"/tiles/2/2/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,340.0,346.09700500000065,311.1060870000002,381.19355200000007,25985.0,0.07880486315294825,0.0,340,370,370,380,380,380,380,380,380,380,380
GET,"/tiles/2/3/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,320.0,360.3989392000001,304.40324299999986,453.25343100000026,20257.0,0.07880486315294825,0.0,320,410,410,450,450,450,450,450,450,450,450
GET,"/tiles/2/3/2.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,310.0,296.3569063999993,266.411991,314.2910080000001,5833.0,0.07880486315294825,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,"/tiles/3/2/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",10,0,310.0,313.0226009000005,260.78101099999884,431.2382359999996,2811.0,0.1576097263058965,0.0,310,310,320,340,430,430,430,430,430,430,430
GET,"/tiles/3/2/4.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,270.0,302.1707676000004,262.5066040000004,374.98126300000047,9967.0,0.07880486315294825,0.0,270,340,340,370,370,370,370,370,370,370,370
GET,"/tiles/3/3/1.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,300.0,302.0834539999999,252.06107099999997,385.9243340000003,3958.0,0.07880486315294825,0.0,300,310,310,390,390,390,390,390,390,390,390
GET,"/tiles/3/3/3.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,380.0,366.9407006000007,257.28243100000014,433.0183700000001,5339.0,0.07880486315294825,0.0,380,410,410,430,430,430,430,430,430,430,430
GET,"/tiles/3/3/5.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,310.0,313.3840518000001,255.68504300000018,375.4613820000001,892.0,0.07880486315294825,0.0,310,340,340,380,380,380,380,380,380,380,380
GET,"/tiles/3/5/3.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,380.0,371.7571778000009,289.12521400000026,503.3358400000054,13392.0,0.07880486315294825,0.0,380,400,400,500,500,500,500,500,500,500,500
GET,"/tiles/3/6/0.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",10,0,310.0,336.3551859,249.52867699999982,427.8429079999997,1180.0,0.1576097263058965,0.0,350,360,390,430,430,430,430,430,430,430,430
GET,"/tiles/4/1/2.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,290.0,293.22722100000004,242.9637669999991,385.4854329999995,693.0,0.07880486315294825,0.0,290,300,300,390,390,390,390,390,390,390,390
GET,"/tiles/4/11/11.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,270.0,277.83740039999986,252.76043800000014,307.2654209999985,693.0,0.07880486315294825,0.0,270,300,300,310,310,310,310,310,310,310,310
GET,"/tiles/4/11/9.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,290.0,284.8153546000006,255.265026,303.25208300000384,728.0,0.07880486315294825,0.0,290,300,300,300,300,300,300,300,300,300,300
GET,"/tiles/4/12/10.png?reference=False&variable=tas&rescale=200,300&url=s3://nasa-eodc-data-store/600_1440_1_no-coord-chunks/CMIP6_daily_GISS-E2-1-G_tas.zarr",5,0,260.0,277.25515779999984,252.41884800000136,347.3819629999966,693.0,0.07880486315294825,0.0,260,270,270,350,350,350,350,350,350,350,350
