xyz tile,tile times,mean total time
0,0,0,"[57.42, 55.06, 56.9, 58.15, 55.74, 59.9, 56.86, 57.87, 55.91, 55.25]",56.90599999999999
0,0,1,"[79.98, 46.6, 46.95, 45.39, 44.84, 45.65, 54.51, 51.09, 46.82, 44.7]",50.653
1,1,2,"[65.78, 44.53, 65.17, 50.72, 53.75, 47.44, 45.79, 45.99, 46.33, 45.32]",51.081999999999994
2,3,3,"[81.39, 52.19, 47.49, 45.44, 45.5, 45.44, 45.49, 47.24, 44.97, 44.79]",49.994
4,6,4,"[74.54, 43.64, 43.55, 43.28, 44.46, 44.14, 43.16, 42.95, 43.32, 43.06]",46.61
9,12,5,"[53.3, 43.1, 52.24, 48.87, 49.74, 47.12, 47.26, 50.54, 50.16, 46.85]",48.91799999999999
18,24,6,"[61.07, 51.29, 47.15, 46.96, 52.16, 51.15, 47.07, 46.9, 51.72, 50.9]",50.637
37,48,7,"[59.29, 49.82, 51.7, 47.8, 46.41, 49.88, 51.58, 47.52, 46.6, 49.58]",50.018
75,96,8,"[62.08, 48.46, 49.16, 50.9, 48.48, 47.05, 49.93, 51.07, 48.11, 47.02]",50.226
150,192,9,"[59.74, 43.7, 42.34, 41.45, 50.96, 46.93, 47.97, 215.59, 43.79, 42.62]",63.509
301,384,10,"[62.72, 47.61, 46.17, 48.4, 50.6, 43.73, 51.26, 48.95, 49.6, 43.5]",49.254000000000005
603,769,11,"[52.47, 42.57, 52.09, 47.51, 46.74, 51.42, 52.74, 47.73, 59.13, 51.28]",50.367999999999995
